ID,Loại,SKU,"GTIN, UPC, EAN hoặc ISBN",Tên,"Đã xuất bản","Là sản phẩm nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giá khuyến mãi","Ngày kết thúc giá khuyến mãi","Trạng thái thuế","Lớp thuế","Còn hàng?","Tồn kho","Số lượng sắp hết hàng","Cho phép đặt hàng trước?","Bán riêng lẻ?","Cân nặng (kg)","Chiều dài (cm)","Chiều rộng (cm)","Chiều cao (cm)","Cho phép khách hàng đánh giá?","Ghi chú mua hàng","Giá khuyến mãi","Giá thông thường","Danh mục",Thẻ,"Lớp vận chuyển","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải xuống",Cha,"Sản phẩm theo nhóm","Bán thêm","Bán chéo","URL bên ngoài","Văn bản nút","Vị trí","Thương hiệu","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính chung 1","Tên thuộc tính 2","Giá trị thuộc tính 2","Thuộc tính hiển thị 2","Thuộc tính chung 2","Tên thuộc tính 3","Giá trị thuộc tính 3","Thuộc tính hiển thị 3","Thuộc tính chung 3","Tên thuộc tính 4","Giá trị thuộc tính 4","Thuộc tính hiển thị 4","Thuộc tính chung 4","Tên thuộc tính 5","Giá trị thuộc tính 5","Thuộc tính hiển thị 5","Thuộc tính chung 5","Tên thuộc tính 6","Giá trị thuộc tính 6","Thuộc tính hiển thị 6","Thuộc tính chung 6","Tên thuộc tính 7","Giá trị thuộc tính 7","Thuộc tính hiển thị 7","Thuộc tính chung 7","Tên thuộc tính 8","Giá trị thuộc tính 8","Thuộc tính hiển thị 8","Thuộc tính chung 8","Tên thuộc tính 9","Giá trị thuộc tính 9","Thuộc tính hiển thị 9","Thuộc tính chung 9"
174,variable,,,"Apple iPhone 15",1,0,visible,"iPhone 15 sở hữu Dynamic Island, camera Chính 48MP và USB-C trong thiết kế bằng kính pha màu và nhôm bền bỉ.","<h3><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Tính năng nổi bật</span></h3>
\n 	<li data-start=""2770"" data-end=""2816"">
\n<p data-start=""2772"" data-end=""2816"">Sinh viên các ngành kỹ thuật, CNTT, thiết kế</p>
\n</li>
\n 	<li data-start=""2817"" data-end=""2875"">
\n<p data-start=""2819"" data-end=""2875"">Nhân viên văn phòng cần xử lý đồ họa, làm việc đa tác vụ</p>
\n</li>
\n 	<li data-start=""2876"" data-end=""2925"">
\n<p data-start=""2878"" data-end=""2925"">Người dùng có nhu cầu chơi game tầm trung – cao</p>
\n</li>
\n 	<li data-start=""2926"" data-end=""2978"">
\n<p data-start=""2928"" data-end=""2978"">Người thường xuyên mang máy theo học tập, làm việc</p>
\n</li>
\n</ul>
\n
\n<hr data-start=""3170"" data-end=""3173"" />
\n<p data-start=""3175"" data-end=""3371""><strong data-start=""3175"" data-end=""3207"">ASUS Vivobook K3605VC-RP364W</strong> là lựa chọn hoàn hảo nếu bạn đang tìm kiếm một chiếc laptop có hiệu năng mạnh mẽ, thiết kế đẹp và màn hình chuẩn gaming, phục vụ tốt cho cả công việc lẫn giải trí.</p>",,"2025-10-31 23:59:59",taxable,,1,,,0,0,,,,,1,,18690000,22090000,"Laptop - PC",,,"http://localhost/ekart/wp-content/uploads/2025/09/asus-k3605vc-i5-rp364w-2-638839519553397726-750x500-1.jpg, http://localhost/ekart/wp-content/uploads/2025/09/asus-k3605vc-i5-rp364w-14-638839519640132001-750x500-2.jpg, http://localhost/ekart/wp-content/uploads/2025/09/asus-k3605vc-i5-rp364w-6-638839519608428793-750x500-1.jpg, http://localhost/ekart/wp-content/uploads/2025/09/asus-k3605vc-i5-rp364w-1-638839519559342746-180x125-2.jpg",,,,,,,,,0,Asus,"Công nghệ màn hình","Chống chói Anti Glare
LED Backlit
300 nits",1,0,"Công nghệ CPU","Intel Core i5 Raptor Lake - 13420H",1,0,"Card màn hình","Card rời - NVIDIA GeForce RTX 3050\, 4 GB",1,0,"Tính năng khác","Lớp phủ ASUS Antimicrobial Guard
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ",1,0,"Loại RAM","DDR4 (8 GB onboard + 1 khe 8 GB)",1,0,,,,,,,,,,,,,,,,
272,variable,,,"Laptop MacBook Pro 14 inch M4 16GB/512GB",1,0,visible,,"<h1 data-start=""312"" data-end=""362""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""314"" data-end=""360"">Laptop MacBook Pro 14 inch M4 (16GB/512GB)</strong></span></h1>
\n<p data-start=""363"" data-end=""431""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""363"" data-end=""431"">Hiệu năng vượt trội – Màn hình xuất sắc – Đẳng cấp chuyên nghiệp</strong></span></p>
\n
\n
\n<hr data-start=""433"" data-end=""436"" />
\n
\n<h2 data-start=""438"" data-end=""480""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">1. Sức mạnh từ chip Apple M4 mới nhất</span></h2>
\n<p data-start=""482"" data-end=""777""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">MacBook Pro 14 inch trang bị vi xử lý <strong data-start=""520"" data-end=""532"">Apple M4</strong> – dòng chip thế hệ mới mạnh mẽ nhất từ Apple, tối ưu cả về hiệu năng lẫn tiết kiệm điện năng. Nhờ kiến trúc Apple Silicon tiên tiến, máy xử lý mượt mọi tác vụ: từ làm việc văn phòng, lập trình, thiết kế đồ họa, dựng video 4K cho đến sử dụng AI.</span></p>
\n<p data-start=""779"" data-end=""995""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""779"" data-end=""786"">CPU</strong>: Apple M4 (nhiều nhân, hiệu suất cao, tiết kiệm điện)</span><br data-start=""840"" data-end=""843"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""843"" data-end=""850"">RAM</strong>: 16GB tích hợp (tối ưu hệ sinh thái macOS, đa nhiệm mượt mà)</span><br data-start=""911"" data-end=""914"" /><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""914"" data-end=""924"">Ổ cứng</strong>: 512GB SSD (tốc độ đọc/ghi siêu nhanh, mở ứng dụng chỉ trong tích tắc)</span></p>
\n
\n
\n<hr data-start=""997"" data-end=""1000"" />
\n
\n<h2 data-start=""1002"" data-end=""1047""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">2. Màn hình Liquid Retina XDR siêu sắc nét</span></h2>
\n<p data-start=""1049"" data-end=""1274""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">MacBook Pro sở hữu màn hình <strong data-start=""1077"" data-end=""1106"">14 inch Liquid Retina XDR</strong>, độ phân giải cao, màu sắc trung thực, độ sáng tối đa lên đến 1000 nits, hỗ trợ HDR – lý tưởng cho công việc chỉnh sửa ảnh, dựng phim hoặc xem nội dung chất lượng cao.</span></p>
\n
\n<ul data-start=""1276"" data-end=""1442"">
\n 	<li data-start=""1276"" data-end=""1301"">
\n<p data-start=""1278"" data-end=""1301""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Kích thước: 14.2 inch</span></p>
\n</li>
\n 	<li data-start=""1302"" data-end=""1331"">
\n<p data-start=""1304"" data-end=""1331""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Độ phân giải: 3024 x 1964</span></p>
\n</li>
\n 	<li data-start=""1332"" data-end=""1407"">
\n<p data-start=""1334"" data-end=""1407""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Công nghệ: Liquid Retina XDR, ProMotion (tần số quét tự động đến 120Hz)</span></p>
\n</li>
\n 	<li data-start=""1408"" data-end=""1442"">
\n<p data-start=""1410"" data-end=""1442""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Hỗ trợ: HDR, P3 Color, True Tone</span></p>
\n</li>
\n</ul>
\n
\n<hr data-start=""1444"" data-end=""1447"" />
\n
\n<h2 data-start=""1449"" data-end=""1481""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">3. Thiết kế cao cấp, mỏng nhẹ</span></h2>
\n<p data-start=""1483"" data-end=""1732""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">MacBook Pro M4 mang ngôn ngữ thiết kế tối giản, tinh tế với vỏ nhôm nguyên khối sang trọng. Dù sở hữu hiệu năng cực mạnh, máy vẫn giữ trọng lượng chỉ <strong data-start=""1633"" data-end=""1643"">~1.6kg</strong>, dễ dàng mang theo trong balo, túi xách – phù hợp cho người dùng thường xuyên di chuyển.</span></p>
\n
\n
\n<hr data-start=""1734"" data-end=""1737"" />
\n
\n<h2 data-start=""1739"" data-end=""1780""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">4. Thời lượng pin dài, kết nối đa dạng</span></h2>
\n<ul data-start=""1782"" data-end=""2105"">
\n 	<li data-start=""1782"" data-end=""1869"">
\n<p data-start=""1784"" data-end=""1869""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1784"" data-end=""1819"">Thời lượng pin lên đến 18 tiếng</strong> – sử dụng thoải mái cả ngày chỉ với một lần sạc</span></p>
\n</li>
\n 	<li data-start=""1870"" data-end=""1937"">
\n<p data-start=""1872"" data-end=""1937""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Hệ thống tản nhiệt thông minh – hiệu suất ổn định, máy luôn mát</span></p>
\n</li>
\n 	<li data-start=""1938"" data-end=""2105"">
\n<p data-start=""1940"" data-end=""1969""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Trang bị đầy đủ cổng kết nối:</span></p>
\n
\n<ul data-start=""1972"" data-end=""2105"">
\n 	<li data-start=""1972"" data-end=""2006"">
\n<p data-start=""1974"" data-end=""2006""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">3 x Cổng Thunderbolt 4 (USB-C)</span></p>
\n</li>
\n 	<li data-start=""2009"" data-end=""2021"">
\n<p data-start=""2011"" data-end=""2021""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">1 x HDMI</span></p>
\n</li>
\n 	<li data-start=""2024"" data-end=""2048"">
\n<p data-start=""2026"" data-end=""2048""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">1 x Khe thẻ nhớ SDXC</span></p>
\n</li>
\n 	<li data-start=""2051"" data-end=""2078"">
\n<p data-start=""2053"" data-end=""2078""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">1 x Jack tai nghe 3.5mm</span></p>
\n</li>
\n 	<li data-start=""2081"" data-end=""2105"">
\n<p data-start=""2083"" data-end=""2105""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">1 x Cổng sạc MagSafe</span></p>
\n</li>
\n</ul>
\n</li>
\n</ul>
\n
\n<hr data-start=""2107"" data-end=""2110"" />
\n
\n<h2 data-start=""2112"" data-end=""2151""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">5. Âm thanh và bảo mật chuyên nghiệp</span></h2>
\n<ul data-start=""2153"" data-end=""2394"">
\n 	<li data-start=""2153"" data-end=""2247"">
\n<p data-start=""2155"" data-end=""2247""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2155"" data-end=""2167"">Âm thanh</strong>: Hệ thống 6 loa chất lượng cao, hỗ trợ Spatial Audio (âm thanh vòm sống động)</span></p>
\n</li>
\n 	<li data-start=""2248"" data-end=""2328"">
\n<p data-start=""2250"" data-end=""2328""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2250"" data-end=""2259"">Micro</strong>: Micro chuẩn phòng thu, lọc tiếng ồn tốt khi gọi video hoặc thu âm</span></p>
\n</li>
\n 	<li data-start=""2329"" data-end=""2394"">
\n<p data-start=""2331"" data-end=""2394""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2331"" data-end=""2342"">Bảo mật</strong>: Cảm biến vân tay Touch ID – mở khóa nhanh, an toàn</span></p>
\n</li>
\n</ul>
\n
\n<hr data-start=""2396"" data-end=""2399"" />
\n
\n<h2 data-start=""2401"" data-end=""2465""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">6. Hệ điều hành macOS – Trải nghiệm mượt mà, đồng bộ hoàn hảo</span></h2>
\n<p data-start=""2467"" data-end=""2719""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">MacBook Pro M4 chạy <strong data-start=""2487"" data-end=""2505"">macOS mới nhất</strong>, tối ưu cho chip M4 với giao diện hiện đại, khả năng đồng bộ mạnh mẽ với các thiết bị Apple khác (iPhone, iPad, Apple Watch). Hỗ trợ đầy đủ phần mềm văn phòng, đồ họa, code, chỉnh sửa ảnh/video và các ứng dụng AI.</span></p>
\n
\n
\n<hr data-start=""2721"" data-end=""2724"" />
\n
\n<h2 data-start=""2726"" data-end=""2760""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2729"" data-end=""2760"">Thông số kỹ thuật tổng quan</strong></span></h2>
\n<div class=""_tableContainer_1rjym_1"">
\n<div class=""group _tableWrapper_1rjym_13 flex w-fit flex-col-reverse"" tabindex=""-1"">
\n<table class=""w-fit min-w-(--thread-content-width)"" data-start=""2762"" data-end=""3406"">
\n<thead data-start=""2762"" data-end=""2824"">
\n<tr data-start=""2762"" data-end=""2824"">
\n<th data-start=""2762"" data-end=""2781"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Thông số</span></th>
\n<th data-start=""2781"" data-end=""2824"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Chi tiết</span></th>
\n</tr>
\n</thead>
\n<tbody data-start=""2889"" data-end=""3406"">
\n<tr data-start=""2889"" data-end=""2952"">
\n<td data-start=""2889"" data-end=""2908"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">CPU</span></td>
\n<td data-start=""2908"" data-end=""2952"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Apple M4</span></td>
\n</tr>
\n<tr data-start=""2953"" data-end=""3016"">
\n<td data-start=""2953"" data-end=""2972"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">RAM</span></td>
\n<td data-start=""2972"" data-end=""3016"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">16GB tích hợp</span></td>
\n</tr>
\n<tr data-start=""3017"" data-end=""3080"">
\n<td data-start=""3017"" data-end=""3036"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Ổ cứng</span></td>
\n<td data-start=""3036"" data-end=""3080"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">512GB SSD tốc độ cao</span></td>
\n</tr>
\n<tr data-start=""3081"" data-end=""3144"">
\n<td data-start=""3081"" data-end=""3100"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Màn hình</span></td>
\n<td data-start=""3100"" data-end=""3144"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">14.2 inch Liquid Retina XDR, 120Hz</span></td>
\n</tr>
\n<tr data-start=""3145"" data-end=""3208"">
\n<td data-start=""3145"" data-end=""3164"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Độ phân giải</span></td>
\n<td data-start=""3164"" data-end=""3208"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">3024 x 1964</span></td>
\n</tr>
\n<tr data-start=""3209"" data-end=""3272"">
\n<td data-start=""3209"" data-end=""3228"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Trọng lượng</span></td>
\n<td data-start=""3228"" data-end=""3272"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">~1.6kg</span></td>
\n</tr>
\n<tr data-start=""3273"" data-end=""3336"">
\n<td data-start=""3273"" data-end=""3292"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Hệ điều hành</span></td>
\n<td data-start=""3292"" data-end=""3336"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">macOS mới nhất</span></td>
\n</tr>
\n<tr data-start=""3337"" data-end=""3406"">
\n<td data-start=""3337"" data-end=""3356"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Cổng kết nối</span></td>
\n<td data-start=""3356"" data-end=""3406"" data-col-size=""md""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Thunderbolt 4, HDMI, SDXC, MagSafe, jack 3.5mm</span></td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n
\n<hr data-start=""3408"" data-end=""3411"" />
\n
\n<h2 data-start=""3413"" data-end=""3432""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""3416"" data-end=""3432"">Phù hợp với:</strong></span></h2>
\n<ul data-start=""3434"" data-end=""3722"">
\n 	<li data-start=""3434"" data-end=""3508"">
\n<p data-start=""3436"" data-end=""3508""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""3436"" data-end=""3467"">Người làm sáng tạo nội dung</strong>: thiết kế đồ họa, dựng phim, nhiếp ảnh</span></p>
\n</li>
\n 	<li data-start=""3509"" data-end=""3591"">
\n<p data-start=""3511"" data-end=""3591""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""3511"" data-end=""3542"">Lập trình viên &amp; doanh nhân</strong>: cần máy mạnh, ổn định, hỗ trợ AI và đa tác vụ</span></p>
\n</li>
\n 	<li data-start=""3592"" data-end=""3657"">
\n<p data-start=""3594"" data-end=""3657""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""3594"" data-end=""3655"">Sinh viên chuyên ngành kỹ thuật, truyền thông, nghệ thuật</strong></span></p>
\n</li>
\n 	<li data-start=""3658"" data-end=""3722"">
\n<p data-start=""3660"" data-end=""3722""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""3660"" data-end=""3722"">Người dùng yêu thích sự tinh tế, hiệu suất cao, pin bền bỉ</strong></span></p>
\n</li>
\n</ul>
\n
\n<hr data-start=""3724"" data-end=""3727"" />
\n
\n<h2 data-start=""3729"" data-end=""3812""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""3732"" data-end=""3810"">MacBook Pro M4 – Cỗ máy chuyên nghiệp đích thực cho công việc và sáng tạo.</strong></span></h2>
\n<p data-start=""3813"" data-end=""3885""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Sở hữu ngay để trải nghiệm sự khác biệt đến từ Apple Silicon thế hệ mới!</span></p>",,,taxable,,1,,,0,0,,,,,1,,,,"Laptop - PC",,,"http://localhost/ekart/wp-content/uploads/2025/09/macbook-pro-14-inch-m4-16gb-512gb-tgdd-den-1-638660152965882579-750x500-1.jpg, http://localhost/ekart/wp-content/uploads/2025/09/macbook-pro-14-inch-m4-16gb-512gb-tgdd-den-7-638660153005251866-750x500-1.jpg, http://localhost/ekart/wp-content/uploads/2025/09/macbook-pro-14-inch-m4-16gb-512gb-tgdd-den-6-638660152999622756-750x500-1.jpg, http://localhost/ekart/wp-content/uploads/2025/09/macbook-pro-14-inch-m4-16gb-512gb-tgdd-den-2-638660152974639288-750x500-1.jpg",,,,,,,,,0,Apple,Màu,"Đen, Bạc",1,0,"Card màn hình","Card tích hợp - 10 nhân GPU",1,0,RAM,"16 GB",1,0,"Công nghệ màn hình","ProMotion
Độ sáng XDR: toàn màn hình 1000 nits\, cao nhất 1600 nits (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1000 nits
Wide color (P3)
True Tone Technology
1 tỷ màu",1,0,"Cổng giao tiếp","Jack tai nghe 3.5 mm
MagSafe 3
HDMI
3 x Thunderbolt 4 ( hỗ trợ DisplayPort\, Thunderbolt 4 (up to 40Gb/s)\, USB 4 (up to 40Gb/s))",1,0,,,,,,,,,,,,,,,,
282,variable,,,"Máy tính bảng iPad A16 WiFi 128GB",1,0,visible,,"<h1 data-start=""280"" data-end=""321""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""282"" data-end=""319"">Máy tính bảng iPad A16 WiFi 128GB</strong></span></h1>
\n<p data-start=""322"" data-end=""383""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""322"" data-end=""383"">Hiệu năng mạnh mẽ – Thiết kế tinh tế – Màn hình sống động</strong></span></p>
\n
\n
\n<hr data-start=""385"" data-end=""388"" />
\n
\n<h2 data-start=""390"" data-end=""443""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">1. Chip Apple A16 Bionic – Xử lý mượt mọi tác vụ</span></h2>
\n<p data-start=""445"" data-end=""733""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">iPad A16 được trang bị vi xử lý <strong data-start=""477"" data-end=""497"">Apple A16 Bionic</strong>, dòng chip mạnh mẽ tương tự trên iPhone cao cấp, mang lại hiệu năng ấn tượng cho cả công việc, học tập và giải trí. Với CPU 6 nhân và GPU 5 nhân, thiết bị đảm bảo xử lý trơn tru từ lướt web, xem video, chỉnh sửa ảnh đến chơi game nặng.</span></p>
\n
\n<ul>
\n 	<li data-start=""735"" data-end=""924""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""735"" data-end=""742"">CPU</strong>: Apple A16 Bionic (6 nhân CPU, 5 nhân GPU)</span></li>
\n 	<li data-start=""735"" data-end=""924""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""788"" data-end=""795"">RAM</strong>: Tích hợp theo thiết kế Apple (đảm bảo đa nhiệm mượt mà)</span></li>
\n 	<li data-start=""735"" data-end=""924""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""855"" data-end=""871"">Bộ nhớ trong</strong>: 128GB – đủ lưu trữ ảnh, video, ứng dụng và tài liệu</span></li>
\n</ul>
\n
\n<hr data-start=""926"" data-end=""929"" />
\n
\n<h2 data-start=""931"" data-end=""981""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">2. Màn hình Retina đẹp mắt, bảo vệ mắt tối ưu</span></h2>
\n<p data-start=""983"" data-end=""1196""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">iPad A16 sở hữu màn hình Retina kích thước lớn, hiển thị sắc nét, màu sắc chuẩn xác và độ sáng cao. Công nghệ True Tone tự điều chỉnh màu sắc theo ánh sáng môi trường giúp việc sử dụng lâu dài trở nên dễ chịu hơn.</span></p>
\n
\n<ul data-start=""1198"" data-end=""1346"">
\n 	<li data-start=""1198"" data-end=""1223"">
\n<p data-start=""1200"" data-end=""1223""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong>Kích thước:</strong> 10.9 inch</span></p>
\n</li>
\n 	<li data-start=""1224"" data-end=""1260"">
\n<p data-start=""1226"" data-end=""1260""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong>Độ phân giải:</strong> 2360 x 1640 pixels</span></p>
\n</li>
\n 	<li data-start=""1261"" data-end=""1297"">
\n<p data-start=""1263"" data-end=""1297""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong>Công nghệ:</strong> Liquid Retina IPS LCD</span></p>
\n</li>
\n 	<li data-start=""1298"" data-end=""1346"">
\n<p data-start=""1300"" data-end=""1346""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong>Hỗ trợ:</strong> True Tone, chống chói, dải màu rộng P3</span></p>
\n</li>
\n</ul>
\n
\n<hr data-start=""1348"" data-end=""1351"" />
\n
\n<h2 data-start=""1353"" data-end=""1384""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">3. Thiết kế cao cấp, gọn nhẹ</span></h2>
\n<p data-start=""1386"" data-end=""1624""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Khung nhôm nguyên khối cao cấp, các cạnh vuông vức hiện đại mang lại vẻ ngoài tinh tế, chắc chắn. Với <strong data-start=""1488"" data-end=""1519"">trọng lượng chỉ khoảng 470g</strong>, iPad A16 dễ dàng mang theo mọi lúc, mọi nơi – từ lớp học đến quán cà phê hoặc những chuyến công tác xa.</span></p>
\n
\n
\n<hr data-start=""1626"" data-end=""1629"" />
\n
\n<h2 data-start=""1631"" data-end=""1664""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">4. Pin bền bỉ, kết nối ổn định</span></h2>
\n<ul data-start=""1666"" data-end=""1941"">
\n 	<li data-start=""1666"" data-end=""1781"">
\n<p data-start=""1668"" data-end=""1781""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1668"" data-end=""1703"">Thời lượng pin lên đến 10 tiếng</strong> sử dụng liên tục – lý tưởng cho học online, xem video hoặc làm việc di động</span></p>
\n</li>
\n 	<li data-start=""1782"" data-end=""1878"">
\n<p data-start=""1784"" data-end=""1878""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1784"" data-end=""1810"">Kết nối WiFi chuẩn mới</strong>, cho tốc độ truyền tải ổn định khi học tập, gọi video, livestream</span></p>
\n</li>
\n 	<li data-start=""1879"" data-end=""1941"">
\n<p data-start=""1881"" data-end=""1941""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""1881"" data-end=""1899"">Cổng sạc USB-C</strong> giúp sạc nhanh và truyền dữ liệu tiện lợi</span></p>
\n</li>
\n</ul>
\n
\n<hr data-start=""1943"" data-end=""1946"" />
\n
\n<h2 data-start=""1948"" data-end=""1986""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">5. Trải nghiệm hệ sinh thái Apple</span></h2>
\n<p data-start=""1988"" data-end=""2248""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">iPad A16 hoạt động trên <strong data-start=""2012"" data-end=""2044"">hệ điều hành iPadOS mới nhất</strong>, hỗ trợ đầy đủ tính năng như đa nhiệm chia đôi màn hình, viết tay bằng Apple Pencil, gọi FaceTime, dùng AirDrop, Handoff,… Giúp đồng bộ hoàn hảo với iPhone, MacBook, Apple Watch trong hệ sinh thái Apple.</span></p>
\n
\n
\n<hr data-start=""2250"" data-end=""2253"" />
\n
\n<h2 data-start=""2255"" data-end=""2289""><span style=""font-family: tahoma, arial, helvetica, sans-serif;""><strong data-start=""2258"" data-end=""2289"">Thông số kỹ thuật tổng quan</strong></span></h2>
\n<div class=""_tableContainer_1rjym_1"">
\n<div class=""group _tableWrapper_1rjym_13 flex w-fit flex-col-reverse"" tabindex=""-1"">
\n<table class=""w-fit min-w-(--thread-content-width)"" data-start=""2291"" data-end=""2931"">
\n<thead data-start=""2291"" data-end=""2353"">
\n<tr data-start=""2291"" data-end=""2353"">
\n<th data-start=""2291"" data-end=""2310"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Thông số</span></th>
\n<th data-start=""2310"" data-end=""2353"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Chi tiết</span></th>
\n</tr>
\n</thead>
\n<tbody data-start=""2418"" data-end=""2931"">
\n<tr data-start=""2418"" data-end=""2481"">
\n<td data-start=""2418"" data-end=""2437"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Vi xử lý</span></td>
\n<td data-start=""2437"" data-end=""2481"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Apple A16 Bionic</span></td>
\n</tr>
\n<tr data-start=""2482"" data-end=""2546"">
\n<td data-start=""2482"" data-end=""2501"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Bộ nhớ</span></td>
\n<td data-start=""2501"" data-end=""2546"" data-col-size=""sm""><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">128GB</span></td>
\n</tr>
\n<tr data-start=""2547"" data-end=""2611"">
